CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Iraq,IRQ,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,1990,2.66661680703
Iraq,IRQ,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,1990,0.0
Iraq,IRQ,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,1990,0.117166768314
Iraq,IRQ,Consumer price index (2010 = 100),FP.CPI.TOTL,1990,0.0305675511365
Iraq,IRQ,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,1990,100.7
Iraq,IRQ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,1990,6.162
Iraq,IRQ,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,1990,0.310856997967
Iraq,IRQ,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1990,1304.46312331
Iraq,IRQ,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1990,5.0
Iraq,IRQ,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,1990,0.0
Iraq,IRQ,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,1990,10.8333333333
Iraq,IRQ,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,1990,15.675
Iraq,IRQ,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1990,0.0
Iraq,IRQ,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1990,73.4916666667
Iraq,IRQ,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,1990,89.1666666667
Iraq,IRQ,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,1990,0.0
Iraq,IRQ,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,1990,0.0
Iraq,IRQ,Emigration rate of tertiary educated (% of total tertiary educated population),SM.EMI.TERT.ZS,1990,7.97024376477
Iraq,IRQ,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,1990,-459.866165432
Iraq,IRQ,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,1990,70.9651185073
Iraq,IRQ,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1990,1127.59737631
Iraq,IRQ,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,1990,97.9199570527
Iraq,IRQ,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1990,50.0606707761
Iraq,IRQ,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,1990,7.69831832852
Iraq,IRQ,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,1990,4305400000.0
Iraq,IRQ,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1990,13850098367.3
Iraq,IRQ,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,1990,0.270354840728
Iraq,IRQ,External balance on goods and services (current LCU),NE.RSB.GNFS.CN,1990,151200000.0
Iraq,IRQ,External balance on goods and services (current US$),NE.RSB.GNFS.CD,1990,486397285.533
Iraq,IRQ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1990,5.882
Iraq,IRQ,Fixed telephone subscriptions,IT.MLT.MAIN,1990,712109.0
Iraq,IRQ,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,1990,4.06512428328
Iraq,IRQ,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,1990,117.74
